Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Precious Memories Early Childhood Learning Center Iv,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06606,"2181 Main St, Bridgeport, CT, 06606",Preschool,Sheree Higgins,(203) 650-8008,,DCCC.70275; Registry 7506,0,65,0,65,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Precious Memories Early Childhood Lrng Ctr Ii,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"753 Fairfield Ave, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Sheree Higgins,(203) 650-8008,,DCCC.16577; Registry 1926,18,32,0,50,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
St. Mark's Day Care Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06610,"368 Newfield Ave #70, Bridgeport, CT, 06610",Infant/Toddler; Preschool; School age,WendyAnn Rodriguez-Adams,(203) 228-1966,,DCCC.14048; Registry 27,35,26,6,67,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
St. Paul's Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06610,"1475 Noble Ave, Bridgeport, CT, 06610",Preschool,Karen Williams,(203) 384-6023,,DCCC.16808; Registry 1614,0,52,0,52,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Three Little Bears Day Care,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06610,"2010 E. Main Street, Bridgeport, CT, 06610",Infant/Toddler; Preschool,Alina Gutierrez,(203) 610-2699,,DCCC.70655; Registry 9788,21,17,0,38,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YMCA PALS V Day Care,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"850 Park Ave, Bridgeport, CT, 06604",Preschool; School age,Maria Valentin,(203) 334-5551,,DCCC.15649; Registry 1814,0,56,50,106,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bristol BOE at Edgewood PreK Academy,Provider,Early Start CT funded child care,Public School,Bristol,06010,"345 Mix St, Bristol, CT, 06010",Preschool,Courtney Sugarman,(860) 584-7828,,EXEMPT; Registry 11956,0,168,0,168,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bristol Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Bristol,06010,"291 Burlington Ave, Bristol, CT, 06010",Infant/Toddler; Preschool,Maegan Adams,(860) 583-0306,,DCCC.13152; Registry 1409,40,61,0,101,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bristol Child Development Center -West Street,Provider,Early Start CT funded child care,Child Care Center,Bristol,06010,"339 West St, Bristol, CT, 06010",Infant/Toddler; Preschool,Maegan Adams,(860) 583-0306,,DCCC.15397; Registry 1408,16,67,0,83,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
HRA South Street Early Learning Center - Bristol,Provider,Early Start CT funded child care,Child Care Center,Bristol,06010,"55 South Street, Bristol, CT, 06010",,Amy Griswold,(860) 348-2205,,DCCC.70586; Registry 9366,0,0,0,0,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Imagine Nation-A Museum Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Bristol,06010,"1 Pleasant St, Bristol, CT, 06010",Infant/Toddler; Preschool,Jay Maia,(860) 314-1400,,DCCC.16710; Registry 1904,8,119,0,127,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Omayra Ortiz Family Child Care Home (Little Vessels Family Home Daycare),Provider,Early Start CT funded child care,Family Home,Bristol,06010,"66 Benham Street, Bristol, CT, 06010",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57734; Registry 9891,3,0,0,3,Bristol LGP,Donna Osuch | donnaosuch@bristolct.gov | 860-584-6254,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Brooklyn Boe At Brooklyn Elementary School,Provider,Early Start CT funded child care,Public School,Brooklyn,06234,"119 Gorman Rd, Brooklyn, CT, 06234",Preschool,Melissa Violette,(860) 774-7577,,EXEMPT; Registry 1604,0,54,0,54,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Carelot Children's Center Brooklyn,Provider,Early Start CT funded child care,Child Care Center,Brooklyn,06234,"86 S Main Street, Brooklyn, CT, 06234",Infant/Toddler; Preschool,Danielle Diraimo,(860) 425-6566,,DCCC.16429; Registry 1524,15,9,0,24,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Canaan Child Care Center,Provider,Early Start CT funded child care,Child Care Center,Canaan,06018,"90 Pease St, Canaan, CT, 06018",Preschool,Frances  Chapell,(860) 824-0597,,DCCC.12132; Registry 690,0,18,0,18,NA,NA | NA | NA,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Canterbury Boe At Canterbury Elementary School,Provider,Early Start CT funded child care,Public School,Canterbury,06331,"67 Kitt Rd, Canterbury, CT, 06331",Preschool,Courtney Langlois,(860) 546-6744,,EXEMPT; Registry 1722,0,47,0,47,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Chaplin Boe At Chaplin Elementary School,Provider,Early Start CT funded child care,Public School,Chaplin,06235,"240 Palmer Rd, Chaplin, CT, 06235",Preschool,Kevin Chavez,(860) 455-9593,,DCEX.80505; Registry 1802,0,18,0,18,Eastern CT LGP,Maggie Francis-Gietzen | mfrancisgietzen@ec.eastconn.org | 860-455-1532,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Castle,Provider,Early Start CT funded child care,Child Care Center,Colchester,06415,"396 Halls Hill Rd, Colchester, CT, 06415",Preschool,Nicole Beauchamp,(860) 537-0214,,DCCC.14427; Registry 1210,0,10,0,10,Collaborative for Colchester's Children,Cindy Praisner | cpraisner@colchesterct.org | 860-537-0717,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Colchester Boe At Colchester Early Childhood Program,Provider,Early Start CT funded child care,Public School,Colchester,06415,"315 Halls Hill Rd, Colchester, CT, 06415",Preschool,Judy O'Meara,(860) 918-0212,,EXEMPT; Registry 1712,0,37,0,37,Collaborative for Colchester's Children,Cindy Praisner | cpraisner@colchesterct.org | 860-537-0717,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hale Early Education Center,Provider,Early Start CT funded child care,Public School,Coventry,06238,"1776 Main St., P.O. Box 251, Coventry, CT, 06238",Preschool,Dr. Lois Hasty,(860) 742-4550,,EXEMPT; Registry 1702,0,31,0,31,Coventry LGP,Mary Sposito | msposito@coventryct.org | 860-742-7317,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Action Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Danbury,06810,"75 Balmforth Ave, Danbury, CT, 06810",Infant/Toddler; Preschool,Mini Santosh,(203) 743-3785,,DCCC.15756; Registry 1452,16,137,0,153,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Action Early Learning Center 2,Provider,Early Start CT funded child care,Child Care Center,Danbury,06810,"10 Dr Aaron B Samuels Blvd, Danbury, CT, 06810",Infant/Toddler; Preschool,Mini Santosh,(203) 743-3785,,DCCC.70769; Registry 12193,16,20,0,36,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
CIFC/HSNFC; Head Start of Northern Fairfield County (Danbury),Provider,Early Start CT funded child care,Child Care Center,Danbury,06810,"37 Foster St, Danbury, CT, 06810",,Robin Scott,(203) 942-4256,,DCCC.16641; Registry 1728,0,0,0,0,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Danbury Public School Readiness Program,Provider,Early Start CT funded child care,Child Care Center,Danbury,06810,"17 Cottage St, Danbury, CT, 06810",Preschool,Ingrid Norfleet,(203) 470-0229,,DCCC.15164; Registry 2826,0,35,0,35,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
